name, Exec Time, Iterations, Prep Time, Weight, Edges
random-Gnm-1000000x1000000.gr,72.3,8,31.56,36483787,837935,
2nd run,66.5,8,28.59,36483787,837935,
random-Gnm-1000000x10000000.gr,96.4,8,11.15,6470014,999999,
2nd run,95.7,8,11.48,6470014,999999,
random-Gnm-1000000x100000000.gr,199.7,4,14.21,1178537,999999,
2nd run,198.0,4,13.84,1178537,999999,
random-Gnm-1000000x20000000.gr,105.3,6,11.92,3494769,999999,
2nd run,105.1,6,11.42,3494769,999999,
random-Gnm-1000000x5000000.gr,74.7,8,12.0,12408996,999951,
2nd run,73.6,8,10.76,12408996,999951,
random-Gnm-1000000x50000000.gr,193.1,7,11.93,1734820,999999,
2nd run,191.7,7,11.74,1734820,999999,
rmat-1000000x1000000-a0.45b0.15c0.15d0.25.gr,50.9,7,20.45,13901358,447788,
2nd run,50.3,7,20.14,13901358,447788,
rmat-1000000x10000000-a0.45b0.15c0.15d0.25.gr,59.5,4,22.16,3108966,524048,
2nd run,59.5,4,21.8,3108966,524048,
rmat-1000000x100000000-a0.45b0.15c0.15d0.25.gr,132.2,3,23.74,643519,524287,
2nd run,132.0,3,24.46,643519,524287,
rmat-1000000x20000000-a0.45b0.15c0.15d0.25.gr,70.2,4,20.69,1709932,524280,
2nd run,69.3,4,20.96,1709932,524280,
rmat-1000000x5000000-a0.45b0.15c0.15d0.25.gr,57.5,5,22.29,5646423,521678,
2nd run,56.9,5,21.86,5646423,521678,
rmat-1000000x50000000-a0.45b0.15c0.15d0.25.gr,89.9,3,21.17,882467,524287,
2nd run,89.1,3,21.44,882467,524287,
ssca2-1000000x11820688-interclpr0.5-maxcls20.gr,240.4,12,160.14,7593428,999526,
2nd run,251.8,12,170.94,7593428,999526,
ssca2-1000000x119753704-interclpr0.5-maxcls200.gr,865.2,11,486.11,1361194,999992,
2nd run,934.9,11,556.54,1361194,999992,
ssca2-1000000x2797005-interclpr0.25-maxcls5.gr,67.1,8,28.11,25469223,949283,
2nd run,67.4,8,27.91,25469223,949283,
ssca2-1000000x29698831-interclpr0.5-maxcls50.gr,400.4,12,259.6,3498701,999915,
2nd run,418.3,12,270.18,3498701,999915,
ssca2-1000000x3193176-interclpr0.5-maxcls5.gr,78.1,11,27.54,21824111,993240,
2nd run,79.0,11,27.46,21824111,993240,
ssca2-1000000x5697981-interclpr0.25-maxcls10.gr,389.5,11,335.29,15859009,985246,
2nd run,387.1,11,326.97,15859009,985246,
ssca2-1000000x59618475-interclpr0.5-maxcls100.gr,585.5,11,368.91,2044606,999983,
2nd run,531.0,11,309.47,2044606,999983,
